adconnectdump
Windows_LPE_AFD_CVE-2023-21768
ghauri
nord-stream
openvpn-install
DroppedConnection
asnmap
Spoofy
Artemis
serviceDetector
NimPlant
DirectAI
go-socks5
azbelt
sockstlsproxy
Exegol
CredMaster
PowerShdll
APCLdr
SQLRecon
of-CORS
Lsass-Shtinkering
SilentMoonwalk
Dr.-Watson
fuzzing-templates
graphql-threat-matrix
SysmonEoP
NimDllSideload
AmsiScanner
ROADtools
obfuscator
VBad
Volumiser
proxify
ErebusGate
KeeFarceReborn
HVNC
undetected-chromedriver
gitleaks
Ring0VBA
dp_cryptomg
Modlishka
RustHound
BouncyGate
OffensiveVBA
GitFive
Ghostwriter
ssh-badkeys
DeFiHackLabs
HardwareAllTheThings
Havoc
fingerprintx
Zolom
joern
LOLBAS
LaZagne
Cronos
xc
RustChain
JuicyPotatoNG
Pyramid
HEKATOMB
jmet
BaRMIe
freyja
Teamsniper
python-deserialization-attack-payload-generator
Codecepticon
PXEThief
Coercer
RecycledGate
Lastenzug
HandleKatz
MSSQL-Attacker
SnaffPoint
patt-mkdocs
frostbyte
EtwSessionHijacking
SCMKit
Brute-Ratel-C4-Community-Kit
c2nim
DotDumper
AceLdr
Burp2Malleable
TeamFiltration
ABPTTS
radius
bkcrack
BlueHound
SCMKit
gMSADumper
HellsGateNim
BloodHound
protections-artifacts
BITB
BARK
MalwareApiLibrary
NimicStack
BeaconHunter
DeathSleep
CVE-2022-2185
NiCOFF
PackMyPayload
SharpDllProxy
dive
SharpPrinter
Whisker
flipperzero-firmware-wPlugins
Flipper-Zero-BadUSB
Flipper_Zero_Badusb_hack5_payloads
Flipper-IRDB
Flipper
flipperzero-AZERTY
phpggc
kibune
Wakanda-Land
Randomise-api-hashes-cobalt-strike
CoffeeLdr
Impersonate
ADVobfuscator
ntlmv1-multi
NetNTLMtoSilverTicket
PMAT-labs
unleashed-firmware
pretender
PSBits
sccmwtf
AutomatedLab
Chisel-Strike
ggshield
IIS-Raid
Koh
BokuLoader
VBA-macro-experiments
GOAD
ADFSRelay
ASTObfuscate
blackbird
de4js
sandbox-attacksurface-analysis-tools
CheckPlease
maldev-for-dummies
monitoror
dopplertask
chophound
serianalyzer
gadgetinspector
siofra
badflare
waymore
Mangle
Detect-Hooks
WDExtract
ExtractedDefender
WebView2-Cookie-Stealer
ThreadStackSpoofer
DFSCoerce
nim-loader
Ekko
x8
ermir
bluffy
OffensiveZig
pics
snallybuckster
ChainWalker
GHOSTS
sheepl
COFFInjector
cf-bypass
Nim_DInvoke
Awesome-RedTeam-Cheatsheet
trivy
RedGuard
holehe
cve
NimlineWhispers3
flipperzero-firmware
bypass-url-parser
RopstenCtf
sigma
peekaboo
cvssjs
solidity-nft-boilerplate
SCV-List
awesome-flipperzero
SonarSearch
mitmproxy2swagger
Awesome-RCE-techniques
Self_Deletion_BOF
sigmaio
warhorse
SharpWSUS
bofhound
resolvers
DefaultCreds-cheat-sheet
SigFlip
mythril
mythril
replaying-ethereum-hacks
pywerview
pe-sieve
gargoyle
moonwalk
Osiris
eth-security-toolbox
ape
smartcheck
mythic2modrewrite
MAIAN
NTLMRelay2Self
semgrep-smart-contracts
brownie
ganache
lsassy
rogue-jndi
SharpLeftOvers
KrbRelayUp
SharpWnfSuite
SWC-registry
NewPipe
SmartTube
C2-Tool-Collection
DVWA
ysoserial
PowerSCCM
LdapRelayScan
wpscan
SharpAzToken
DetectionLabELK
RefleXXion
SysWhispers3
capa-rules
nodep
confused
aem-hacker
AzureC2Relay
SharpSCCM
lpmapper
cicd-goat
Backstab
Viper
DriverMon
avdebugger
commonspeak2
pyevmasm
ntlmquic
personal-security-checklist
trufflehog
hashcat-rule
smart-contract-honeypots
slither
external_c2
Zipper
Invoke-ADLabDeployer
ExploitRemotingService
OffensiveCSharp
dirhunt
StageStrike
CanYouCTheThief
EDR-Test
FunctionalC2
Mochi
dnSpy
smbeagle
go-decrypt-jenkins
osmedeus
thanatos
ProfSvcLPE
rtlo-attack
DripLoader
sourcemapper
yara_vt_mock
CVE-2021-43008-AdminerRead
CloudLabsAD
Internal-Monologue
OffensivePascal
crackerjack
detection-rules
Azure-Red-Team
GoPurple
Blacklist3r
SysmonTools
FuckThatPacker
upx-mod
Offensive_tools
pandora
pretext-project.github.io
gau
OneListForAll
RoguePotato
ysoserial.net
Talon
malware-samples
traitor
Get-UserSession
donut
openedr
whids
Kage
Evasions
CAPEv2
AMSITrigger
PPLKiller
drvscanner
CVE-2022-21882
pimox7
BloodHound.py
Vajra
ostorlab
Nimcrypt2
Parth
uro
windows_hardening
PrivFu
S1EM
pointer
TeamsImplant
sneaky_gophish
sysmon-config
FreshyCalls
BananaPhone
Certipy
COMRunner
MicroBurst
Athena
KrbRelay
MediaCreationTool.bat
CUCMe
SpoolFool
iCULeak.py
stratus-red-team
Ivy
CobaltBus
KillDefenderBOF
Advanced-Process-Injection-Workshop
GoWard
dumb-obfuscator
KillDefender
Apollo
HELK
odat
PoshADCS
CVE-2022-21882
ShadowClone
c4udit
ForgeCert
Certify
NimGetSyscallStub
FunctionStomping
NimPackt-v1
wsuxploit
cowrie
StopDefender
graphw00f
BokuLoader
Shhhloader
C2concealer
not-so-smart-contracts
OffensivePipeline
KaynLdr
RDPInception
npk
RedELK
mortar
LocalAdminSharp
inject-assembly
PEASS-ng
CertStealer
TartarusGate
ShadowCoerce
XiaoMiToolV2
modifyCertTemplate
MalSeclogon
vortex
graftcp
lyncsmash
ArtifactKit
Log4jCenter
remote-method-guesser
CallbackHell
Pachine
CVE-2021-44228-PoC-log4j-bypass-words
JNDI-Exploit-Kit
SEP-14.2-Arbitrary-Write
mjet
OffensiveAutoIt
OffensiveRust
DVS
assless-chaps
StandIn
AlternativeShellcodeExec
GoMapEnum
Invoke-SocksProxy
InstallerFileTakeOver
SysWhispers2
MultiPotato
InlineWhispers2
lsarelayx
Nim_CBT_Shellcode
nanodump
SharpBeacon
rsacrack
CheekyBlinder
ScareCrow-CobaltStrike
WADComs.github.io
GPOwned
jolokia-exploitation-toolkit
bloodyAD
Skrull
C3
RunAsTI
IIS-ShortName-Scanner
CyberArkTools
DonPAPI
artifact32
artifact64
SleepyCrypt
Snaffler
DeployPrinterNightmare
LiquidSnake
Registry-Recon
SourcePoint
proxyshell-poc
LazySign
EDD
spawn
SharpRelay
StreamDivert
PetitPotam
vbe-decoder
NautilusProject
Malleable-C2-Profiles
HellsGate
raccoon
InlineExecute-Assembly
InvisibilityCloak
OffensivePythonPipeline
pivotnacci
Inveigh
gmapsapiscanner
StandIn
IDAShell
stringcheese
GenericPotato
SimuLand
UPX
HopLa
365-Stealer
o365-attack-toolkit
cook
simplehttpserver
pwndrop
capa
CheeseTools
SharpProxyLogon
InveighZero
SharpCollection
SharpSocks
Neo-reGeorg
ProxyLogon
ScareCrow
password-list
Notes
bloodhound-quickwin
VECTR
CVE-2021-3156
keyhacks
BBTz
recon
unicorn
postMessage-tracker
WireTap
PowerSharpPack
juicy_2
school-of-sre
Farmer
posta
garble
Alaris
Ciphey
AzureWireGuard
Linode_Terraform_Scripts
SharpSniper
PwnyForm
OffensivePipeline
TREVORspray
laravel-exploits
HeapsOfFun
Sharpmad
inMemoryShellcode
DInvisibleRegistry
WSAAcceptBackdoor
Invoke-ZeroLogon
Amsi-Bypass-Powershell
NimlineWhispers
vba-obfuscator
BadBlood
static-binaries
SimplyTemplate
badPods
Bughound
LAPSToolkit
Cloudtopolis
ThreatCheck
saferwall
denim
OffensiveNim
vulnerable-AD
PEzor
sgn
reference
EvilClippy
SimpleVM
ExecuteAssembly
RAU_crypto
hashonymize
solarflare
tc2
Depix
fibratus
SharpMapExec
axiom
grab_beacon_config
Stracciatella
Mythic
CallObfuscator
Slackhound
PowerSploit
WinPwn
spoolsystem
CTF-pwn-tips
