nightmare
nvim-luaref
numpy
Dotfiles
gruvbox-flat.nvim
iced
luv-vimdocs
range-highlight.nvim
nvim-dap-ui
himalaya
selene
todo-comments.nvim
hologram.nvim
go.nvim
lspcontainers.nvim
dockerfiles
lir.nvim
browser-bookmarks.nvim
tree-sitter-go-mod
symbols-outline.nvim
trouble.nvim
vim-config
Shade.nvim
photos
telescope-fzf-native.nvim
telescope-harpoon.nvim
telescope-coc.nvim
lua-analyzer
gitlinker.nvim
nvim-go
nlsp-settings.nvim
lbry.com
nvim-biscuits
one-small-step-for-vimkind
nvim-lsp-ts-utils
nebulous.nvim
nvim-lspinstall
nonicons
vim-fun-and-efficient
nvim-tetris
tbsh
lspkind.nvim
sourcegraph
nvim-nonicons
gcloud-zsh-completion
glog
youtube_lua
dash.nvim
nvim-ts-autotag
nvim-treesitter-textobjects
nvim-go
artify.nvim
telescope-dap.nvim
StyLua
full-moon
telescope-media-files.nvim
nerd-fonts
rust-analyzer
monolithic.nvim
green_light.nvim
ruplacer
Vim-memes
nvim-compe
envim
tabi.nvim
sgbrowse
dotfiles
hop.nvim
dotfiles
neovim-rust
mcshader-lsp
diffsitter
slash-sourcegraph
nvim-lightbulb
teal-language-server
kommentary
telescope-bibtex
astronauta.nvim
toodoux
comby
emmet-ls
telescope-frecency.nvim
telescope-frecency
neovim-twitch-chat
nvim-lspinstall
gnvim
nvim-autopairs
nvim_rc
vimconfig
flux
sqlite.lua
animate.vim
flutter-tools.nvim
lspsaga.nvim
dial.nvim
neuron.nvim
tjdevries
luatemplate
complextras.nvim
sh-parser
telescope-cheat.nvim
vim-illuminate
dotfiles
telescope-project.nvim
goMarkableStream
ido.nvim
ntangle-lsp.nvim
obs-studio
dotfiles
sirocco
croissant
pr.nvim
telescope-symbols.nvim
aoc_2020
nabla.nvim
public_dotfiles
sidekick.nvim
aoc-2020
advent-of-code-2020
advent_of_code
telescope-packer.nvim
junegunn
telescope-fzf-writer.nvim
telescope-fzy-native.nvim
gruvbox.nvim
lush.nvim
dotvim8
tree-sitter-gdscript
gitsigns.nvim
boo-colorscheme-nvim
octo.nvim
nvim-ts-rainbow
instant.nvim
harpoon
fzy-lua-native
install
onebuddy
lister
galaxyline.nvim
server
client
fzy-lua
bin
ltreesitter
uivonim
veonim
daedalus.nvim
spacebuddy
modalawesome
lookatme.contrib.image_ueberzug
awesome-neovim
scrollbar.nvim
spaceline.vim
dotfiles
command-t
boo-st
luv
telescope-checkout
nvim
vim-lsp
docker-vim-be-good
vim-be-good
vimspector
architext.nvim
modus-theme-vim
nvim-lua-debugger
rtmp-switcher
profiler.nvim
nvim-web-devicons
bfredl.github.io
lsp_extensions.nvim
self_supervised
delta
goyo.vim
vimage.nvim
ueberzug
vim-deathmatch
tree-sitter-lua
nvim-todoist.lua
wilder.nvim
wishlist
tree-sitter-teal
nvim-lua-guide
jupyter_ascending.vim
vlog.nvim
nlua.nvim
neuron.vim
javascript-typescript-langserver
recursive
playground
vim-apm
snippets.nvim
tree-sitter-viml
nvim-metals
teal-interactive.nvim
vim-teal
BetterLua.vim
luarocks
telescope.nvim
inlinec
pyodide
jupyter_ascending
luacheck
vim-signify
nvim-colorizer.lua
typeracer.nvim
awesome
popup.nvim
lazygit.nvim
nvim-tree-docs
nvim_utils
LuaJIT
express_line.nvim
cyclist.vim
streamdeck-ui
hound
vim9jit
dashboard-nvim
pdf-scribe.nvim
packer.nvim
luafun
vscode-neovim
hipsterplot
2-simple-steps
vim-argumentative
tree-sitter-jinja2
notes
fvim
fennel-nvim
presentui
pathfinder.vim
fuzzymenu.vim
spotify.nvim
sphinx.nvim
vim-language-server
act
nvim-tree.lua
lsp-status.nvim
neovide
nvim-libmodal
nvim-jdtls
snippets.nvim
urdx
sqls
hererocks
tl
vim-nayvy
nvim-treesitter
logos
highlight.lua
nvim-dap
gruvbuddy.nvim
nvim_rocks
colorv.vim
riv.vim
plenary.nvim
org.nvim
manillua.nvim
completion-nvim
lookatme.contrib.qrcode
dotfiles
completion-treesitter
py_package.nvim
diagnostic-nvim
luvjob.nvim
apyrori.nvim
sphinx-autodoc-typehints
lookatme
arxiv-sanity-preserver
rich
dotfiles
lua-language-server
learn_your_vim
playwright
nvim-luadev
fzf-preview.vim
nvim-whid
python-hunter
vim-quickui
gothanks
nvim-lspconfig
cpython
tree.nvim
django-stubs
git-bug
slick
actionmenu.nvim
coc-git
terminal
qnvim
endlessh
gen_tags.vim
PySnooper
black
semshi
coc-zsh
vim-grammarous
night-owl.vim
wiki.vim
deep-learning-paper-notes
firenvim
vim-hexokinase
oni2
git-messenger.vim
vista.vim
float-preview.nvim
bullet
nvim-marksman
darktile
vim-proposal
poetry
nchat
CS400HW
goneovim
vim-qf
inspect.lua
EPIJudge
TFFactory
vim-matchup
pointer.nvim
luajit-rocks
neovim-gtk
bash-language-server
maid
vim-better-comments
SimpleSnippets.vim
tree-sitter.vim
page
NJsonSchema
monica
DefinitelyTyped
nvimpam
cquery
stdweb
eovim
vim-header
splitjoin.vim
comfortable-motion.vim
luaxml
rainbow_levels.vim
profile-summary-for-github
vim-colortemplate
idris-vimscript
iceberg.vim
node-host
suda.vim
pytypes
colorbuddy.nvim
pywin.nvim
pyvenv.vim
vim-insguide
readablefold.vim
vim-smarttill
vim-smartchr
rpcs3
nvim-pygtk3
rust
yowish.vim
mark.vim
vim-sort-imports
palettable
syntax_objects.vim
nvim-yarp
felix
vim-after-object
lua-lsp
inline_edit.vim
esrapgra
covimerage
oaa
TwitchLeecher
VFSForGit
fold_search.vim
best-resume-ever
history-traverse
vim-line-no-indicator
standard.vim
Rocket.Chat
vim-glissues
pretty-algorithms
write-a-hash-table
vim-dependencywtf
nvimfs
CompleteParameter.vim
zsh-histdb
vim-snippets
nvim-palette
CycleGAN
tinychain
ale
conf.vim
abrash-black-book
vim-plugin-AnsiEsc
attrs
deoppet.nvim
vim-delve
go-vimlparser
vim-fixedsearch
vim-prompter
quickmenu.vim
factorus
plib.vim
linediff.vim
switch.vim
vim-vtd
vim-ingo-library
SyntaxAttr.vim
vim-SyntaxRange
vim-game-code-break
train.nvim
pastery.vim
overlength.vim
hyperapp
urlwatch
faker
TypeScript
luvit
vim-deus
rtfm
decaffeinate
collect.js
jansson
Vim
Nvim-R
gso
vim-vimlparser
vim-uglifier.vim
deleft.vim
vim-thematic
tad
neovim-gui-shim
gohci
mparse.nvim
vim-precious
capitalL.vim
Penlight
vim-protocol
vim-printf
classic
json.lua
workflowish
git-journal
typecheck
libuv
sslsecure.vim
gitpitch
python-language-server
node-client
typeorm
vim-sonictemplate
resume.github.com
Batsh
brython
vat.nvim
braceless.vim
gonvim
interactive-coding-challenges
vim-high
NrrwRgn
vim-inyoface
Google-Play-Music-Desktop-Player-UNOFFICIAL-
coreutils
issue-tracker
AutoHotkey
system-design-primer
vim-disapprove-deep-indentation
vim-maktaba
ActualVim
VsVim
gitv
vim-hug-neovim-rpc
LanguageClient-neovim
neo-gdb
nvim-api-viewer
omnisharp-vim
nvim-terminal-velocity
nvim-example-python-plugin
vim-randomtag
nvimdev.nvim
Surfingkeys
exception.vim
vim-lookup
pipenv
vsh
gina.vim
alacritty
neoformat
git-reviewers
xonsh
SoftUni
vim-responsive-tabline
octobox
neovim.cs
deoplete-clang2
500lines
libmpack
info.vim
corrode
apt-vim
slack-memo-vim
jid
kubo
pytest-random
oni
Awesome-CV
vim-clang-format
lua
openpilot
misspell
vim-move
RetroPie-Setup
nmux
sabnzbd
vim-auto-programming
vim-chat
homeassistant-config
nvim-typescript
vim-gita
msgpack-vim
python-langserver
neovim-prompt
deol.nvim
stack-overflow-import
haunted.vim
neovim-remote
ribosome-py
vader.vim
vim-halo
vim-hiword
edit_alternate.vim
nvim-langserver-shim
hl-goimport.vim
vim-sneak
8cc.vim
pythonVSCode
echodoc.vim
algorithm-mnemonics
art-of-readme
talks
artwork
vim-gutentags
vim-rplugin
coding-interview-university
vim-grepper
StarStruct
deoplete-server
zpyi
tender.vim
vint
jedi
galvanize.vim
pyrsistent
webcomplete.vim
Viy
NeoSFML
neovim-qt
unite.vim
denite.nvim
vim-two-firewatch
deoplete-padawan
vim-radio
proselint
boltons
jedi-vim
doorstop
SolidOak
vim-signature
Area-41
significant-white-space
spellrotate.vim
GitHub.vim
nvim-python-doctor
lldb.nvim
iron.nvim
neco-vim
colorpal.vim
neomake
impsort.vim
vim-esearch
vim-plug
neovim
gitalias
estilo
NyaoVim
deoplete.nvim
fi_re_planner
unite-cmus
vim-vertex
.SpaceVim.d
pynvim
neovim-intellij-complete
MagicMirror
async.vim
neofetch
vim-fugitive
awesome-selfhosted
django-kronos
pygemony
vim-morph
vital-design-by-contract
vital.vim
unogame
commit-comments
github-commit-comment.vim
vim-github-comment
vim-galore
targets.vim
vimdeck
konch
HowToBeAProgrammer
vim-abolish
lighthouse
vim-startify
team14
ImmersiveEngineering
bashmarks
uiprogress
scripts_for_server
config_manager
Ipupdater
memegen
